jalon,km_boundary,km_cross,delta_km,dist_m,acces,road_type,road_name,way_id,lat_cross,lon_cross
6,15.0,14.34413262505302,-0.6558673749469808,538.7628704177795,cross,residential,Chemin de Saint-Martin,142674803,45.83229875036496,4.972655001459852
6,15.0,14.497692298208532,-0.5023077017914677,407.8754288641183,cross,residential,Chemin de Saint-Martin,298825020,45.832908373517775,4.974428996047391
6,15.0,14.555720592347587,-0.444279407652413,374.68014147495495,cross,residential,Montée de la Pissette,89326678,45.8333681629876,4.974150554127611
6,15.0,14.924924146240848,-0.07507585375915227,61.44799941404643,cross,residential,Rue du Côteau,89326647,45.83576509154363,4.9762967062640096
6,15.0,14.925812544465469,-0.07418745553453121,60.61056792126537,cross,residential,Montée de la Paroche,384809856,45.83576883276315,4.97630683873354
6,15.0,14.940012234840243,-0.059987765159757345,59.887680693695835,cross,residential,Chemin des Montelières,89326659,45.83570032097001,4.9764593122071235
6,15.0,14.998609197268495,-0.0013908027315050475,1.3885293570026294,cross,residential,Rue du Torrent,89326685,45.836159207133264,4.976829362259363
6,15.0,15.00068884365541,0.0006888436554106647,0.6888438177396148,cross,residential,Chemin des Montelières,298825045,45.83617704999999,4.976837307142854
7,17.5,16.583106000977956,-0.9168939990220437,760.4891157090217,cross,service,,686022343,45.840724395636094,4.994494246338756
7,17.5,16.746517720248484,-0.7534822797515162,618.7344609196635,cross,residential,Chemin de la Fontaine du Soleil,142664308,45.8405130337918,4.996569639056144
7,17.5,17.161344726281634,-0.33865527371836635,284.54292724219545,cross,residential,Chemin du Mont,89351109,45.84195813077952,5.00038046052996
7,17.5,17.342170283245803,-0.15782971675419688,151.7893987917131,cross,unclassified,Avenue du Mont,384805483,45.843058788326395,5.001914577433629
7,17.5,17.35706170917613,-0.14293829082387077,137.17254710371088,cross,residential,Chemin du Coteau,384805493,45.84301121884545,5.002094284361644
7,17.5,17.936205988967163,0.43620598896716345,383.19810263792294,cross,residential,Montée de Saint-Germain,89353906,45.84250265275143,5.0087690343927935
7,17.5,18.468953687580193,0.9689536875801927,804.2768475025813,cross,service,,167855029,45.8427706210104,5.014225031916792
7,17.5,18.491435866866375,0.9914358668663752,819.5452805731803,cross,service,,819864086,45.842621032423956,5.014418692262984
8,20.0,19.982850485330367,-0.017149514669632993,16.725041508349417,cross,tertiary,Route de Tramoyes,384805500,45.84742723618677,5.03015274499025
8,20.0,20.206413123258844,0.20641312325884442,173.4528992009651,cross,residential,Chemin Henri IV,105575368,45.84773942462463,5.032477405105116
9,22.5,21.62057979674243,-0.8794202032575704,753.0931162919572,cross,residential,Chemin Henri IV,292666650,45.851388456939205,5.048869579901042
9,22.5,21.65002989682158,-0.8499701031784213,733.7388818989817,cross,residential,Montée du Chemin Neuf,384006808,45.85124908552632,5.049192921578947
9,22.5,21.751351866134783,-0.7486481338652169,640.2409511397974,cross,residential,Chemin de la Pierre,99528927,45.85127061246697,5.050460749779788
9,22.5,21.897396101460597,-0.6026038985394031,505.79199417769144,cross,residential,Montée du Chemin Neuf,635533761,45.85131101476943,5.052322177233154
9,22.5,22.006505555007138,-0.4934944449928622,404.17208550709404,cross,residential,Rue Pied des Vignes,126626873,45.85142758166282,5.053720979953808
9,22.5,22.18700659016169,-0.3129934098383096,243.20881298483647,cross,service,,1120612962,45.851729160197365,5.0560029105732625
9,22.5,22.23352846699773,-0.2664715330022709,208.23124241164922,cross,residential,Montée du Chemin Neuf,8109837,45.851787797234046,5.056597657659568
9,22.5,22.234888582849706,-0.26511141715029396,207.2769370510764,cross,tertiary,Place Carnot,8109816,45.8517895115493,5.0566150457142856
9,22.5,22.243421124887895,-0.25657887511210475,201.57082343888973,cross,tertiary,Place Carnot,384805496,45.85186043685708,5.056602621142481
