;;Généré par gpx_to_altitude_csv.py depuis parcours.gpx
Distance (m); Altitude (m)
108900;326.2
109000;318.9
109100;316.5
109200;318.6
109300;319.0
109400;318.0
109500;318.5
109600;319.2
109700;319.2
109800;319.5
109900;319.8
110000;320.0
110100;320.3
110200;320.6
110300;320.9
110400;319.0
110500;318.0
110600;319.7
110700;318.7
110800;318.0
110900;320.5
111000;320.9
111100;318.4
111200;317.0
111300;316.8
111400;315.1
111500;317.4
111600;318.4
111700;318.0
111800;317.6
111900;315.9
112000;314.3
112100;313.8
112200;318.6
112300;325.0
112400;325.0
112500;325.8
112600;323.3
112700;322.5
112800;329.3
112900;336.1
113000;336.9
113100;331.0
113200;330.2
113300;333.9
113400;339.0
113500;343.9
113600;340.4
113700;331.5
113800;326.3
113900;323.0
114000;319.8
114100;317.0
114200;319.2
114300;320.4
114400;316.0
114500;317.6
114600;320.7
114700;323.7
114800;328.5
114900;333.9
115000;334.3
115100;335.7
115200;338.7
115300;344.5
115400;354.0
115500;349.4
115600;356.1
115700;358.6
115800;358.5
115900;362.3
116000;366.1
116100;364.0
116200;360.5
116300;356.5
116400;359.9
116500;360.1
116600;366.5
116700;371.9
116800;370.4
116900;367.0
117000;365.5
117100;363.9
117200;359.8
117300;358.3
117400;358.8
117500;357.5
117600;355.2
117700;353.8
117800;352.5
117900;350.6
118000;350.0
118100;350.0
118200;351.6
118300;354.3
118400;351.3
118500;347.0
118600;350.0
118700;353.1
118800;356.9
118900;358.7
119000;359.3
119100;362.2
119200;364.7
119300;366.3
119400;375.4
119500;385.3
119600;395.0
119700;405.7
119800;421.2
119900;437.1
120000;452.3
120100;464.3
120200;475.0
120300;485.1
120400;495.8
120500;507.1
120600;513.9
120700;519.0
120800;532.1
120900;545.0
121000;552.7
121100;565.7
121200;580.1
121300;581.4
121400;582.9
121500;589.8
121600;597.1
121700;604.3
121800;607.0
121900;624.1
122000;646.1
122100;666.1
122200;677.4
122300;682.3
122400;683.4
122500;686.1
122600;688.9
122700;692.5
122800;698.8
122900;704.0
123000;695.1
123100;696.0
123200;689.5
123300;698.4
123400;696.3
123500;689.9
123600;685.5
123700;669.1
123800;652.5
123900;640.9
124000;629.7
124100;615.3
124200;601.0
124300;593.4
124400;590.9
124500;580.8
124600;574.9
124700;568.0
124800;572.9
124900;579.7
125000;585.3
125100;578.0
125200;566.4
125300;562.4
125400;556.0
125500;552.1
125600;541.9
125700;536.7
125800;531.3
125900;527.0
126000;527.0
126100;516.3
126200;509.0
126300;506.2
126400;510.4
126500;511.2
126600;511.8
126700;514.8
126800;517.0
126900;518.4
127000;520.3
127100;521.4
127200;521.9
127300;527.7
127400;535.0
127500;537.0
127600;535.7
127700;531.0
127800;526.8
127900;521.4
128000;522.0
128100;523.2
128200;525.7
128300;531.7
128400;541.4
128500;552.1
128600;562.4
128700;567.9
128800;568.9
128900;572.2
129000;578.9
129100;586.0
129200;585.2
129300;585.6
129400;586.2
129500;592.9
129600;605.5
129700;612.9
129800;613.3
129900;607.4
130000;607.5
130100;607.5
130200;602.1
130300;600.0
130400;598.0
130500;596.8
130600;597.4
130700;598.4
130800;599.6
130900;596.5
131000;594.0
131100;594.5
131200;599.5
131300;608.5
131400;609.7
131500;613.5
131600;616.7
131700;621.0
131800;619.8
131900;615.1
132000;609.6
132100;594.9
132200;589.5
132300;587.5
132400;586.2
132500;587.0
132600;583.5
132700;577.2
132800;580.4
132900;576.5
133000;570.2
133100;562.4
133200;549.7
133300;539.6
133400;533.8
133500;518.4
133600;488.2
133700;468.9
133800;463.1
133900;441.0
134000;446.7
134100;453.8
134200;458.3
134300;459.0
134400;455.7
134500;447.7
134600;450.8
134700;454.6
134800;448.7
134900;453.1
135000;459.4
135100;470.3
135200;481.6
135300;487.1
135400;494.4
135500;505.0
135600;512.7
135700;516.2
135800;515.7
135900;513.9
136000;513.0
136100;505.0
136200;504.6
136300;503.9
136400;503.0
136500;502.0
136600;504.1
136700;506.3
136800;507.0
136900;509.7
137000;512.2
137100;513.0
137200;513.0
137300;513.0
137400;511.7
137500;511.0
137600;513.0
137700;514.5
137800;515.8
137900;519.3
138000;522.8
138100;524.2
138200;524.4
138300;523.1
138400;524.0
138500;524.0
138600;524.1
138700;519.6
138800;516.2
138900;512.6
139000;508.3
139100;511.9
139200;515.4
139300;518.1
139400;522.6
139500;518.0
139600;511.0
139700;509.6
139800;504.5
139900;491.8
140000;485.7
140100;473.2
140200;464.8
140300;456.3
140400;455.3
140500;460.2
140600;471.5
140700;474.6
140800;478.4
140900;481.6
141000;487.5
141100;507.2
141200;522.9
141300;533.0
141400;539.1
141500;541.8
141600;544.8
141700;542.9
141800;542.3
141900;546.6
142000;551.0
142100;554.7
142200;556.0
142300;555.0
142400;552.4
142500;547.8
142600;543.8
142700;540.0
142800;541.7
142900;543.3
143000;548.1
143100;553.9
143200;566.6
143300;583.1
143400;592.0
143500;591.0
143600;582.1
143700;570.0
143800;565.7
143900;559.1
144000;553.5
144100;552.8
144200;544.1
144300;533.1
144400;521.2
144500;520.8
144600;523.6
144700;524.7
144800;518.3
144900;525.1
145000;516.1
145100;498.5
145200;491.8
145300;490.5
145400;491.9
145500;491.9
145600;490.5
145700;489.0
145800;487.1
145900;482.5
146000;478.0
146100;478.1
146200;478.7
146300;478.6
146400;478.2
146500;478.8
146600;480.1
146700;481.8
146800;482.9
146900;484.8
147000;486.3
147100;482.4
147200;478.8
147300;473.1
147400;473.0
147500;473.6
147600;473.2
147700;472.7
147800;470.5
147900;470.7
148000;475.5
148100;479.4
148200;482.7
148300;486.0
148400;486.8
148500;486.4
148600;486.1
148700;484.2
148800;481.8
148900;479.4
149000;477.1
149100;474.7
149200;472.3
149300;471.6
149400;471.3
149500;467.8
149600;464.0
149700;462.5
149800;462.0
149900;462.0
150000;460.5
150100;459.9
150200;457.0
150300;453.7
150400;449.5
150500;445.1
150600;442.1
150700;439.7
150800;439.7
150900;439.9
151000;441.0
151100;442.0
151200;438.5
151300;440.4
151400;443.3
151500;446.2
151600;449.1
151700;452.0
151800;454.8
151900;457.7
152000;460.6
152100;463.5
152200;463.1
152300;459.2
152400;460.9
152500;461.9
152600;464.1
152700;465.9
152800;467.7
152900;467.0
153000;469.1
153100;472.0
153200;475.4
153300;476.5
153400;476.0
153500;477.6
153600;479.7
153700;481.9
153800;481.9
153900;479.9
154000;479.4
154100;478.9
154200;478.4
154300;478.3
154400;480.9
154500;483.5
154600;484.0
154700;484.1
154800;484.9
154900;485.8
155000;486.0
155100;485.9
155200;485.3
155300;484.7
155400;484.1
155500;484.0
155600;484.0
155700;484.0
155800;484.0
155900;484.0
156000;484.0
156100;484.0
156200;484.0
156300;484.0
156400;484.0
156500;484.0
156600;484.0
156700;484.0
156800;484.0
156900;484.1
157000;487.6
157100;490.7
157200;493.9
157300;497.0
157400;500.2
157500;503.3
157600;506.4
157700;509.2
157800;513.5
157900;516.7
158000;516.2
158100;521.9
158200;524.2
158300;524.6
158400;518.6
158500;518.5
158600;516.5
158700;513.1
158800;508.2
158900;509.1
159000;510.0
159100;508.3
159200;507.6
159300;504.0
159400;501.3
159500;501.0
159600;501.7
159700;504.9
159800;507.8
159900;511.4
160000;514.0
160100;514.7
160200;516.0
160300;517.4
160400;518.8
160500;519.3
160600;519.7
160700;520.2
160800;521.8
160900;525.9
161000;529.0
161100;525.8
161200;521.7
161300;519.1
161400;522.5
161500;526.7
161600;524.8
